filename,width,height,class,xmin,ymin,xmax,ymax
10IMAG0028.JPG,684,513,white tailed deer,449,208,531,259
10IMAG0029.JPG,685,514,white tailed deer,400,217,473,254
10IMAG0036.JPG,741,556,white tailed deer,297,265,448,511
10IMAG0040.JPG,721,541,white tailed deer,651,301,719,401
10IMAG0041.JPG,723,542,white tailed deer,622,258,721,424
10IMAG0043.JPG,736,552,white tailed deer,48,220,287,552
10IMAG0044.JPG,758,568,white tailed deer,1,254,294,568
10IMAG0045.JPG,757,568,white tailed deer,1,259,363,568
10IMAG0046.JPG,723,542,white tailed deer,277,240,379,493
10IMAG0048.JPG,723,541,white tailed deer,285,259,370,490
10IMAG0049.JPG,723,542,white tailed deer,57,226,148,369
10IMAG0052.JPG,583,437,white tailed deer,89,177,152,211
10IMAG0053.JPG,583,437,white tailed deer,133,181,205,212
10IMAG0055.JPG,797,597,white tailed deer,474,240,566,286
10IMAG0056.JPG,797,597,white tailed deer,518,219,580,281
10IMAG0057.JPG,799,599,white tailed deer,527,218,584,289
10IMAG0058.JPG,753,565,white tailed deer,654,258,743,323
10IMAG0059.JPG,718,538,white tailed deer,677,246,716,295
10IMAG0062.JPG,770,578,white tailed deer,13,238,217,350
10IMAG0064.JPG,757,568,white tailed deer,448,253,605,339
10IMAG0066.JPG,767,575,white tailed deer,633,255,692,345
10IMAG0070.JPG,640,480,Roe,277,247,367,435
10IMAG0071.JPG,640,480,Roe,413,221,472,334
10IMAG0072.JPG,640,480,Roe,536,216,575,284
10IMAG0073.JPG,659,495,white tailed deer,460,213,563,278
10IMAG0074.JPG,661,496,white tailed deer,274,201,392,262
10IMAG0075.JPG,661,496,white tailed deer,184,206,229,235
10IMAG0082.JPG,690,518,white tailed deer,60,219,156,263
10IMAG0082.JPG,690,518,white tailed deer,664,203,689,249
10IMAG0082.JPG,690,518,white tailed deer,637,220,690,264
10IMAG0083.JPG,692,519,white tailed deer,13,210,108,262
10IMAG0083.JPG,692,519,white tailed deer,666,204,692,241
10IMAG0083.JPG,692,519,white tailed deer,630,220,688,265
10IMAG0085.JPG,684,513,white tailed deer,451,208,524,265
10IMAG0085.JPG,684,513,white tailed deer,510,216,564,303
10IMAG0086.JPG,685,514,white tailed deer,502,200,551,309
10IMAG0086.JPG,685,514,white tailed deer,467,206,523,262
10IMAG0087.JPG,685,514,white tailed deer,471,207,540,312
10IMAG0088.JPG,724,543,white tailed deer,1,114,287,541
10IMAG0088.JPG,724,543,white tailed deer,504,230,582,333
10IMAG0088.JPG,724,543,white tailed deer,616,238,685,307
10IMAG0090.JPG,682,512,white tailed deer,414,221,508,339
10IMAG0090.JPG,682,512,white tailed deer,497,227,561,302
10IMAG0091.JPG,683,512,white tailed deer,442,189,535,305
10IMAG0091.JPG,683,512,white tailed deer,362,181,530,348
10IMAG0092.JPG,683,513,white tailed deer,448,193,543,300
10IMAG0092.JPG,683,513,white tailed deer,362,184,542,349
10IMAG0093.JPG,682,511,white tailed deer,487,203,582,303
10IMAG0093.JPG,682,511,white tailed deer,413,179,533,341
10IMAG0095.JPG,681,511,white tailed deer,351,206,414,293
10IMAG0096.JPG,682,511,white tailed deer,330,204,393,286
10IMAG0097.JPG,681,511,white tailed deer,264,184,338,265
10IMAG0097.JPG,681,511,white tailed deer,528,223,634,291
10IMAG0099.JPG,680,510,white tailed deer,247,185,336,263
10IMAG0099.JPG,680,510,white tailed deer,522,224,606,296
10IMAG0100.JPG,679,509,white tailed deer,80,206,165,253
10IMAG0100.JPG,679,509,white tailed deer,467,189,537,300
10IMAG0101.JPG,679,509,white tailed deer,2,204,109,257
10IMAG0101.JPG,679,509,white tailed deer,472,224,536,305
10IMAG0102.JPG,679,510,white tailed deer,474,222,512,308
10IMAG0103.JPG,681,510,white tailed deer,273,239,468,348
10IMAG0109.JPG,664,498,white tailed deer,1,354,198,497
10IMAG0110.JPG,659,494,white tailed deer,149,328,279,491
10IMAG0111.JPG,652,489,white tailed deer,255,275,340,443
10IMAG0112.JPG,659,494,white tailed deer,14,340,229,494
10IMAG0116.JPG,787,590,white tailed deer,172,385,557,587
10IMAG0118.JPG,725,544,white tailed deer,557,244,595,322
10IMAG0119.JPG,729,547,white tailed deer,579,238,612,311
